recPrec[ 0 ] =  Docrow(TopXDocs=10, QNum=1, TxQ=1, RelIddxRankNum=0, OQD_QNum=1, OQD_DocID=764, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 1 ] =  Docrow(TopXDocs=10, QNum=1, TxQ=2, RelIddxRankNum=1, OQD_QNum=1, OQD_DocID=958, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 2 ] =  Docrow(TopXDocs=10, QNum=1, TxQ=3, RelIddxRankNum=2, OQD_QNum=1, OQD_DocID=407, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 3 ] =  Docrow(TopXDocs=10, QNum=1, TxQ=4, RelIddxRankNum=3, OQD_QNum=1, OQD_DocID=1225, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 4 ] =  Docrow(TopXDocs=10, QNum=1, TxQ=5, RelIddxRankNum=4, OQD_QNum=1, OQD_DocID=1269, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 5 ] =  Docrow(TopXDocs=10, QNum=1, TxQ=6, RelIddxRankNum=5, OQD_QNum=1, OQD_DocID=974, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 6 ] =  Docrow(TopXDocs=10, QNum=1, TxQ=7, RelIddxRankNum=6, OQD_QNum=1, OQD_DocID=905, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 7 ] =  Docrow(TopXDocs=10, QNum=1, TxQ=8, RelIddxRankNum=7, OQD_QNum=1, OQD_DocID=904, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 8 ] =  Docrow(TopXDocs=10, QNum=1, TxQ=9, RelIddxRankNum=8, OQD_QNum=1, OQD_DocID=1220, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 9 ] =  Docrow(TopXDocs=10, QNum=1, TxQ=10, RelIddxRankNum=9, OQD_QNum=1, OQD_DocID=367, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 10 ] =  Docrow(TopXDocs=10, QNum=2, TxQ=1, RelIddxRankNum=1091, OQD_QNum=2, OQD_DocID=324, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 11 ] =  Docrow(TopXDocs=10, QNum=2, TxQ=2, RelIddxRankNum=1092, OQD_QNum=2, OQD_DocID=323, Relevant=0, RelCnt=0, Recall=0, Precision=0.0)
recPrec[ 12 ] =  Docrow(TopXDocs=10, QNum=2, TxQ=3, RelIddxRankNum=1093, OQD_QNum=2, OQD_DocID=1395, Relevant=1, RelCnt=1, Recall=0.06666666666666667, Precision=0.3333333333333333)
recPrec[ 13 ] =  Docrow(TopXDocs=10, QNum=2, TxQ=4, RelIddxRankNum=1094, OQD_QNum=2, OQD_DocID=629, Relevant=0, RelCnt=1, Recall=0.06666666666666667, Precision=0.25)
recPrec[ 14 ] =  Docrow(TopXDocs=10, QNum=2, TxQ=5, RelIddxRankNum=1095, OQD_QNum=2, OQD_DocID=180, Relevant=0, RelCnt=1, Recall=0.06666666666666667, Precision=0.2)
recPrec[ 15 ] =  Docrow(TopXDocs=10, QNum=2, TxQ=6, RelIddxRankNum=1096, OQD_QNum=2, OQD_DocID=559, Relevant=1, RelCnt=2, Recall=0.13333333333333333, Precision=0.3333333333333333)
recPrec[ 16 ] =  Docrow(TopXDocs=10, QNum=2, TxQ=7, RelIddxRankNum=1097, OQD_QNum=2, OQD_DocID=655, Relevant=0, RelCnt=2, Recall=0.13333333333333333, Precision=0.2857142857142857)
recPrec[ 17 ] =  Docrow(TopXDocs=10, QNum=2, TxQ=8, RelIddxRankNum=1098, OQD_QNum=2, OQD_DocID=1393, Relevant=0, RelCnt=2, Recall=0.13333333333333333, Precision=0.25)
